Chaos-daemon Version: version.Info{GitVersion:"chart-2.5.1", GitCommit:"08b173528f315d3a6621b9be5566e74ab9e0d35d", BuildDate:"2023-01-14T02:33:17Z", GoVersion:"go1.18", Compiler:"gc", Platform:"linux/amd64"}
2023-02-01T19:58:04.543Z	INFO	chaos-daemon.daemon-server	chaos-daemon/main.go:80	grant access to /dev/fuse
2023-02-01T21:11:24.118Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/fault-5", "comm": "nsexec\n"}
2023-02-01T21:11:24.121Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:47	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/7460/ns/pid -- memStress --workers 50 --size 50"}
2023-02-01T21:11:24.121Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start memStress successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/7460/ns/pid -- memStress --workers 50 --size 50", "pid": 94870, "uid": "8636835a-1176-44d6-bbee-2c0133214fcc"}
2023-02-01T21:11:24.123Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.124Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/fault-5", "comm": "nsexec\n"}
2023-02-01T21:11:24.134Z	INFO	chaos-daemon.daemon-server	chaosdaemon/server.go:187	Executing stressors	{"namespacedName": "robot-shop/fault-5", "request": "target:\"containerd://b8d1fa6337ffa866617236dc7b7a53b2b42d721869336b6fd44e14302d8952a5\" cpuStressors:\" --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50\" enterNS:true memoryStressors:\" --workers 50 --size 50\""}
2023-02-01T21:11:24.138Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:39	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/5967/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50"}
2023-02-01T21:11:24.138Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start stress-ng successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/5967/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50", "pid": 94876, "uid": "306765b9-71cf-4429-a49c-e5d47713862f"}
2023-02-01T21:11:24.140Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.142Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/fault-5", "comm": "nsexec\n"}
2023-02-01T21:11:24.144Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:47	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/5967/ns/pid -- memStress --workers 50 --size 50"}
2023-02-01T21:11:24.145Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start memStress successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/5967/ns/pid -- memStress --workers 50 --size 50", "pid": 94881, "uid": "f3661a6f-9c43-45d5-a76f-8ac50c304869"}
2023-02-01T21:11:24.147Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.148Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/fault-5", "comm": "nsexec\n"}
2023-02-01T21:11:24.171Z	INFO	chaos-daemon.daemon-server	chaosdaemon/server.go:187	Executing stressors	{"namespacedName": "robot-shop/fault-5", "request": "target:\"containerd://08b68e5757fd18876e821d0e9e920aec698d9c18ecdf81a902f6651d0e34d8cc\" cpuStressors:\" --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50\" enterNS:true memoryStressors:\" --workers 50 --size 50\""}
2023-02-01T21:11:24.174Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:39	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/3409/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50"}
2023-02-01T21:11:24.174Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start stress-ng successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/3409/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50", "pid": 94904, "uid": "3db149a7-1219-4f12-8aa2-f4972443d921"}
2023-02-01T21:11:24.176Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.178Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/fault-5", "comm": "nsexec\n"}
2023-02-01T21:11:24.181Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:47	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/3409/ns/pid -- memStress --workers 50 --size 50"}
2023-02-01T21:11:24.181Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start memStress successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/3409/ns/pid -- memStress --workers 50 --size 50", "pid": 94908, "uid": "1f35dcc1-971b-491c-ae57-2d94a803f45d"}
2023-02-01T21:11:24.221Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.222Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.222Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.223Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.223Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.225Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.225Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.226Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.226Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.227Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.227Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.228Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.228Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.230Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.230Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.231Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.231Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.233Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.233Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.234Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.234Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.235Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.235Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.237Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.237Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.238Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.238Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.239Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.239Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.241Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.241Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.242Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.242Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.243Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.243Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.245Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.245Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.246Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.246Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.247Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.247Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.249Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.249Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.250Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.250Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.251Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.252Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.260Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/fault-5", "comm": "nsexec\n"}
2023-02-01T21:11:24.278Z	INFO	chaos-daemon.daemon-server	chaosdaemon/server.go:187	Executing stressors	{"namespacedName": "robot-shop/fault-5", "request": "target:\"containerd://ba54db9d6170e5634898e997444af53c81d6de0ad02c3445631067e12cd9d3b3\" cpuStressors:\" --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50\" enterNS:true memoryStressors:\" --workers 50 --size 50\""}
2023-02-01T21:11:24.282Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:39	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/10717/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50"}
2023-02-01T21:11:24.282Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start stress-ng successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/10717/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50", "pid": 95021, "uid": "1cda0427-f721-4f4a-bd7e-f1d8fc818835"}
2023-02-01T21:11:24.301Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.302Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/fault-5", "comm": "nsexec\n"}
2023-02-01T21:11:24.308Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:47	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/10717/ns/pid -- memStress --workers 50 --size 50"}
2023-02-01T21:11:24.309Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start memStress successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/10717/ns/pid -- memStress --workers 50 --size 50", "pid": 95026, "uid": "b24515e7-5d49-4048-a826-9c6fd751dea3"}
2023-02-01T21:11:24.314Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.315Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.315Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.317Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.317Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.318Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.318Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.319Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.319Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.321Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.321Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.322Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.322Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.323Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.324Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.325Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.325Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.326Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.326Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.328Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.328Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.329Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.329Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.331Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.331Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.332Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.332Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.333Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.334Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.335Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.335Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.336Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.336Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.338Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.338Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.339Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.339Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
2023-02-01T21:11:24.340Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	the process hasn't resumed, step into the following loop	{"namespacedName": "robot-shop/fault-5", "comm": "pause\n"}
2023-02-01T21:11:24.341Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
